date,close,volume,外資,投信,自營商,三大法人合計(張),融資增減(張),K,D,KD落入20以下,出現黃金交叉,趨勢向上非鈍化,新手投資建議
2021-07-26,73.5,11002252,108.0,-3.0,-65.0,40.0,,,,False,False,False,❌ 空頭或無訊號
2021-07-27,73.3,18220622,-538.0,-11.0,33.0,-517.0,,,,False,False,False,❌ 空頭或無訊號
2021-07-28,72.2,14747835,-1109.0,131.0,410.0,-568.0,,,,False,False,False,❌ 空頭或無訊號
2021-07-29,72.0,9460927,-1433.0,1.0,-64.0,-1497.0,,,,False,False,False,❌ 空頭或無訊號
2021-07-30,72.3,12702534,365.0,-67.0,-182.0,116.0,,,,False,False,False,❌ 空頭或無訊號
2021-08-02,74.5,17994655,2344.0,-111.0,159.0,2391.0,,,,False,False,False,❌ 空頭或無訊號
2021-08-03,75.8,14214858,6764.0,173.0,31.0,6967.0,,,,False,False,False,❌ 空頭或無訊號
2021-08-04,75.5,17964469,-5162.0,-904.0,33.0,-6032.0,,,,False,False,False,❌ 空頭或無訊號
2021-08-05,75.2,14691477,303.0,-144.0,-96.0,63.0,,74.19,74.19,False,False,False,❌ 空頭或無訊號
2021-08-06,73.6,11520238,-4485.0,-45.0,-154.0,-4684.0,,65.59,71.33,False,False,False,❌ 空頭或無訊號
2021-08-09,73.7,12165718,3513.0,-2.0,10.0,3521.0,,60.39,67.68,False,False,False,❌ 空頭或無訊號
2021-08-10,70.9,21282285,-8488.0,28.0,-284.0,-8745.0,,41.88,59.08,False,False,False,❌ 空頭或無訊號
2021-08-11,67.3,44724082,-19504.0,-874.0,-15.0,-20393.0,,28.26,48.81,False,False,False,❌ 空頭或無訊號
2021-08-12,66.3,26245367,-4403.0,-1018.0,142.0,-5279.0,,20.93,39.51,False,False,False,❌ 空頭或無訊號
2021-08-13,64.3,28761484,-239.0,-606.0,-40.0,-885.0,,15.96,31.66,False,False,False,❌ 空頭或無訊號
2021-08-16,66.3,23803701,6549.0,141.0,198.0,6888.0,,18.04,27.12,True,False,False,⭐ 弱勢反彈
2021-08-17,66.6,21810633,1677.0,383.0,-289.0,1771.0,,20.9,25.05,True,False,False,⭐ 弱勢反彈
2021-08-18,69.0,14886220,3235.0,350.0,-388.0,3197.0,,29.77,26.62,False,True,False,⭐ 弱勢反彈
2021-08-19,65.7,17524417,-5344.0,396.0,-209.0,-5157.0,,27.05,26.76,False,False,False,❌ 空頭或無訊號
2021-08-20,64.6,13569607,-172.0,186.0,-119.0,-104.0,,22.05,25.19,False,False,False,❌ 空頭或無訊號
2021-08-23,66.8,7679022,1904.0,26.0,168.0,2098.0,,33.82,28.07,False,True,False,⭐ 弱勢反彈
2021-08-24,66.0,9348558,2.0,-921.0,-194.0,-1113.0,,38.34,31.49,False,False,False,❌ 空頭或無訊號
